Preprocessing,Model,Train Size,Test Size,Validation Size,Overall Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy,Recall,Precision,Kappa,F1 Score,Train Time
raw,rnn,320000,40000,40000,0.9331,0.9527864831720942,0.9490107084603928,0.8873540682648605,0.9297170866324492,0.9321671655814432,0.8988701638466888,0.9331,110.34637880325316
raw,transformer,320000,40000,40000,0.9459,0.954970438608552,0.9620540463862686,0.9142228093350948,0.9437490981099718,0.9447850075349812,0.9183477991850564,0.9459,421.8264639377594
raw_whi,atbi-rnn,320000,40000,40000,0.9282,0.9397033459813728,0.945284886186908,0.8922440355665111,0.9257440892449308,0.9276493167116696,0.8915926334299275,0.9282,217.126570224762
raw_whi,gru,320000,40000,40000,0.9251,0.9411238121470872,0.9371956813210076,0.889360573096312,0.9225600221881356,0.9247616009751032,0.8868641524633786,0.9251,95.74070358276369
raw_whi,lstm,320000,40000,40000,0.917475,0.9357968620974402,0.9311100120115876,0.8768890852850199,0.9145986531313492,0.918199242034011,0.8752768726616249,0.917475,99.21597957611084
raw_whi,RF,320000,40000,40000,0.933625,0.9470066671248883,0.9338825517532742,0.9159925326695706,0.9322939171825778,0.9332736558883996,0.8997761530577821,0.933625,178.83834767341614
raw_whi,rnn,320000,40000,40000,0.93225,0.944602465122579,0.9470698075265728,0.8978779840848806,0.9298500855780109,0.9319074870881888,0.8976442524431075,0.93225,114.19753050804138
raw_whi,transformer,320000,40000,40000,0.94915,0.9569436850738108,0.9594122262643556,0.9264252357035864,0.947593715680584,0.9478000791677548,0.923277874650096,0.94915,422.066235780716
ln,atbi-rnn,320000,40000,40000,0.9127,0.9230717047690116,0.9259049373096266,0.8822473523604379,0.9104079981463586,0.9127708568387776,0.8679828015161759,0.9127,203.57918739318848
ln,gru,320000,40000,40000,0.916325,0.928948436865611,0.9277065779225376,0.8850346878097126,0.9138965675326206,0.9165157677938964,0.8734109801712162,0.916325,92.87170100212096
ln,lstm,320000,40000,40000,0.905175,0.9209121785541,0.9158443755286158,0.8719367588932806,0.9028977709919986,0.906614644188529,0.8567522799682235,0.905175,95.63935494422913
ln,RF,320000,40000,40000,0.927525,0.9391038696537678,0.92953092450255,0.910036126530972,0.9262236402290966,0.9267964796581362,0.8906144326924701,0.927525,160.63866686820984
ln,rnn,320000,40000,40000,0.9095,0.923228748383584,0.9237076648841356,0.8739585179932636,0.9069649770869944,0.9105047030808354,0.8631845941499108,0.9095,109.92758512496948
ln,transformer,320000,40000,40000,0.94565,0.9540912773426952,0.9573209832561452,0.9197525329507756,0.943721597849872,0.9440991974656128,0.917886795066268,0.94565,382.1713938713074
7days_ln,atbi-gru,320000,40000,40000,0.92535,0.9393668886905172,0.9407412626832018,0.8877723432636727,0.9226268315457972,0.9248858587305052,0.8871961450873019,0.92535,261.39099073410034
7days_ln,atbi-lstm,320000,40000,40000,0.93065,0.9431046431046431,0.9451245251160828,0.8967065868263473,0.9283119183490244,0.9300008609955308,0.89530509769311,0.93065,295.14423394203186
7days_ln,atbi-rnn,320000,40000,40000,0.936775,0.9474077090119436,0.9554986848652876,0.8992587300169689,0.9340550412980666,0.9358785404151956,0.9044393888237662,0.936775,355.541729927063
7days_ln,bi-gru,320000,40000,40000,0.9363,0.951151949192622,0.9525474525474524,0.8962896736700938,0.9333296918033894,0.9360515819301184,0.9036664386164308,0.9363,253.35145235061648
7days_ln,bi-lstm,320000,40000,40000,0.93325,0.9470483738726428,0.946043932608232,0.8994423298220766,0.9308448787676504,0.9329342271394672,0.8991654447864772,0.93325,282.0680499076843
7days_ln,bi-rnn,320000,40000,40000,0.939775,0.9541627054189868,0.9546397653287544,0.9026290165530672,0.9371438291002696,0.9391328789344092,0.909014809897148,0.939775,353.87097239494324
7days_ln,gru,320000,40000,40000,0.932975,0.9487841325906806,0.9475255972696246,0.8939718209381131,0.9300938502661394,0.932676454705626,0.8986709514177064,0.932975,142.52747797966003
7days_ln,lstm,320000,40000,40000,0.936075,0.9522513943681132,0.95037326697476,0.8969999109765868,0.9332081907731532,0.9357709703660956,0.9033708401256502,0.936075,141.00683403015137
7days_ln,RF,320000,40000,40000,0.94295,0.9521866285792016,0.9488083486109152,0.9232568600989652,0.9414172790963606,0.9417224726141948,0.9138037441492968,0.94295,186.45107197761536
