Preprocessing,Model,Train Size,Test Size,Validation Size,Overall Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy,Recall,Precision,Kappa,F1 Score,Train Time
raw,atbi-rnn,320000,40000,40000,0.945375,0.961228569697704,0.968806161745828,0.8661695943384304,0.9320681085939876,0.9387290552605356,0.9142525710964308,0.945375,255.68058109283447
raw,gru,320000,40000,40000,0.94165,0.957984721716988,0.9664893957839432,0.8584630965945056,0.9276457380318124,0.9341915037450114,0.9083904803806764,0.94165,132.50524854660034
ln,RF,320000,40000,40000,0.9504,0.9545426585470874,0.9693084938427534,0.90402124430956,0.9426241322331336,0.9425210760623748,0.9223883527653332,0.9504,345.2204656600952
raw,RF,320000,40000,40000,0.95595,0.9647187196896218,0.9687738004569688,0.9112028910686628,0.948231803738418,0.9475951820814034,0.9308950673640336,0.95595,35.70146703720093
raw_whi,RF,320000,40000,40000,0.95085,0.959676933277078,0.9693033475507302,0.8964083175803402,0.9417961994693828,0.9430040461113636,0.9230418460363408,0.95085,410.8031389713288
7days_ln_pheno_peak,RF,320000,40000,40000,0.9524,0.9578280542986424,0.9684392841105908,0.9090096988259316,0.945092345745055,0.943194857888772,0.9254632777319268,0.9524,351.6131615638733
7days_ln_whi,atbi-gru,320000,40000,40000,0.93965,0.9536941004209628,0.9656993763522972,0.8586447118429386,0.9260127295387328,0.933025056006202,0.9052416883896612,0.93965,424.33778381347656
raw,lstm,320000,40000,40000,0.943125,0.9578909046781142,0.9706127686878409,0.8584572724981094,0.9289869819546882,0.93694054371317,0.9107076566864633,0.943125,261.7342174053192
7days_ln,transformer,320000,40000,40000,0.960675,0.9696197926141532,0.9750731273051,0.9126300912244636,0.9524410037145722,0.9540007109933538,0.9382845452735998,0.960675,1107.010380744934
raw,rnn,320000,40000,40000,0.94705,0.961029456607916,0.969913406232223,0.8711128244667181,0.934018562435619,0.9389696319318386,0.9167865132735392,0.94705,316.75265288352966
7days_ln_whi,atbi-lstm,320000,40000,40000,0.94735,0.9591305400823444,0.9668354430379746,0.8819625195210827,0.935976167547134,0.9390575122219929,0.9171870851489784,0.94735,917.807152748108
raw,transformer,320000,40000,40000,0.960075,0.967467742921788,0.973612605201544,0.917389087200408,0.9528231451079132,0.9523270097642396,0.9374678530386712,0.960075,533.915275812149
7days_ln_whi,atbi-rnn,320000,40000,40000,0.946625,0.9599236641221374,0.9661722940990848,0.8801668562760713,0.9354209381657644,0.9396743785297738,0.916324187969454,0.946625,399.9545667171478
raw_whi,gru,320000,40000,40000,0.943925,0.956921031961815,0.967533712532754,0.8690079466803384,0.9311542303916358,0.9365099172550622,0.91187097244782,0.943925,131.1842019557953
raw_whi,atbi-rnn,320000,40000,40000,0.94305,0.9532602772900648,0.9657891390054688,0.8752094882042026,0.9314196348332454,0.9338800914263692,0.9105458850190185,0.94305,267.5327684879303
raw_whi,lstm,320000,40000,40000,0.946175,0.9572868927589367,0.9698425744452172,0.8750319774878486,0.934053814897334,0.9393289354182454,0.9154541106240376,0.946175,132.67309665679932
raw_whi,rnn,320000,40000,40000,0.948675,0.9601413944417356,0.9683234939376628,0.8851894374282434,0.937884775269214,0.941607821140614,0.9194547978044864,0.948675,147.9559302330017
raw_whi,transformer,320000,40000,40000,0.95565,0.965839451489594,0.9681151967086654,0.9102097199547908,0.9480547893843502,0.9481660664136664,0.930630863766927,0.95565,541.3149611949921
ln,atbi-rnn,320000,40000,40000,0.938325,0.9533534743202416,0.960687803630785,0.8616448885472713,0.9252287221660994,0.9317530747152428,0.9030262446909718,0.938325,237.32412457466123
ln,gru,320000,40000,40000,0.93415,0.9507789295023338,0.959693388693708,0.8482415902140673,0.9195713028033696,0.9285258148602727,0.8964329464105827,0.93415,123.99657273292542
ln,lstm,320000,40000,40000,0.9341,0.9465523531557826,0.9572376818994128,0.8621607912756785,0.921983608776958,0.926424620257276,0.8966158758100483,0.9341,131.37467575073242
ln,rnn,320000,40000,40000,0.946975,0.956968334042424,0.9688532926519196,0.8818937939859245,0.935905140226756,0.9405473928139164,0.916724731306417,0.946975,142.55164432525635
ln,transformer,320000,40000,40000,0.95465,0.9633864493370636,0.9706560738083034,0.9051572327044024,0.94639991861659,0.9472438733893386,0.9290361955246614,0.95465,414.5691649913788
7days_ln,atbi-gru,320000,40000,40000,0.940325,0.9539598217011662,0.9627862595419848,0.8673921295710489,0.9280460702714,0.9330382611276477,0.9063925424887612,0.940325,284.0397925376892
7days_ln,atbi-lstm,320000,40000,40000,0.94975,0.957459738681252,0.9698644220266016,0.8946379353545477,0.9406540320208002,0.9426903275377776,0.9213671583129672,0.94975,303.78727078437805
7days_ln,atbi-rnn,320000,40000,40000,0.94965,0.9597458921263208,0.969160188607111,0.8902331442974165,0.9397130750102828,0.9425197524355386,0.921136914363519,0.94965,382.7080936431885
7days_ln,bi-gru,320000,40000,40000,0.949775,0.961876296205929,0.9709712253064854,0.8821060663868753,0.9383178626330966,0.94381780335473,0.9211559959525828,0.949775,291.0312268733978
7days_ln,bi-lstm,320000,40000,40000,0.94895,0.959143490031996,0.9679888656924148,0.8901901523737564,0.939107502699389,0.941649855933783,0.9200654025502658,0.94895,314.4289903640747
7days_ln,bi-rnn,320000,40000,40000,0.95335,0.9623864324651726,0.9729332907756144,0.8950798722044728,0.9434665318150868,0.945792644829648,0.9268110453134498,0.95335,377.7017414569855
7days_ln,gru,320000,40000,40000,0.95195,0.9635273239091856,0.9715325205846684,0.8898898898898899,0.941649911461248,0.9456012195109056,0.9247705026722284,0.95195,171.32008004188538
7days_ln,lstm,320000,40000,40000,0.951425,0.961616038139478,0.970414201183432,0.8927038626609443,0.941578033994618,0.9446471657255898,0.9238950893571776,0.951425,162.79791140556335
7days_ln,RF,320000,40000,40000,0.9534,0.9615927357506596,0.969439513061121,0.9046538024971624,0.9452286837696476,0.9454305548168424,0.927091187529927,0.9534,350.55909276008606
7days_ln,rnn,320000,40000,40000,0.947975,0.9621198324531052,0.968026038675091,0.8783405446678544,0.9361621385986836,0.9406309318168454,0.918346146196972,0.947975,184.8553123474121
7days_ln_whi,bi-gru,320000,40000,40000,0.94595,0.9595793824459032,0.969607591690177,0.8713531187122736,0.9335133642827844,0.9400184599688712,0.9152212284789067,0.94595,289.8551907539368
7days_ln_whi,bi-lstm,320000,40000,40000,0.947925,0.9594154847424328,0.9681262277422216,0.8841401916288452,0.9372273013711666,0.9409554301869124,0.9184048518316182,0.947925,310.54339146614075
7days_ln_whi,bi-rnn,320000,40000,40000,0.95035,0.9605902356084528,0.9683143219264893,0.8920278637770898,0.9403108071040104,0.942856692368021,0.9220119392888158,0.95035,379.7575409412384
7days_ln_whi,gru,320000,40000,40000,0.9467,0.955923707054652,0.9709199189052204,0.8788495800458132,0.935231068668562,0.9399605167540231,0.916351919347682,0.9467,170.22914814949036
7days_ln_whi,lstm,320000,40000,40000,0.947125,0.9583180987202924,0.9660497766432674,0.8864898989898989,0.9369525914511532,0.9398474638306858,0.9171540646786442,0.947125,177.36067032814026
7days_ln_whi,rnn,320000,40000,40000,0.94885,0.9595947412857316,0.9683766690091355,0.8865421764327108,0.9381711955758596,0.941429044678062,0.9196355020668852,0.94885,193.73276042938232
7days_ln_whi,RF,320000,40000,40000,0.953375,0.960619872379216,0.968811410459588,0.9066924066924068,0.94537456317707,0.9445173993800988,0.926892978435134,0.953375,396.314218044281
7days_ln_pheno_peak,atbi-gru,320000,40000,40000,0.94065,0.9498302992903424,0.9681184887661604,0.8660475766441929,0.9279987882335652,0.934695775689514,0.906795364195755,0.94065,287.4536180496216
7days_ln_whi,transformer,320000,40000,40000,0.955975,0.964887467716148,0.96839785961599,0.9123901693620272,0.9485584988980552,0.9474500262066486,0.9310792481830472,0.955975,1099.8077518939972
7days_ln_pheno_peak,atbi-lstm,320000,40000,40000,0.946325,0.9541013824884792,0.9669164338328676,0.8898081985708913,0.9369420049640794,0.9389045073150912,0.916022688557407,0.946325,321.1307017803192
7days_ln_pheno_peak,bi-gru,320000,40000,40000,0.944125,0.9529595765158808,0.9690980493143628,0.8759403289557567,0.9326659849286668,0.9373654972730936,0.9122607530335698,0.944125,284.68033719062805
7days_ln_pheno_peak,atbi-rnn,320000,40000,40000,0.947375,0.95483016140689,0.9669950108737368,0.8919093017263592,0.937911491335662,0.9393529622312968,0.9173762199658708,0.947375,385.1721203327179
7days_ln_pheno_peak,bi-lstm,320000,40000,40000,0.947475,0.9568955005487136,0.968263054124531,0.8863492063492063,0.9371692536741502,0.940143829638095,0.917647000615912,0.947475,302.484904050827
7days_ln_pheno_peak,bi-rnn,320000,40000,40000,0.950625,0.957313707451702,0.971717300114402,0.8952392915462881,0.941423433037464,0.9432479140140853,0.922734505955614,0.950625,383.9909203052521
7days_ln_pheno_peak,gru,320000,40000,40000,0.944975,0.9541329110068832,0.9686289451959104,0.8782542113323124,0.933672022511702,0.9376155122095974,0.9136376294652272,0.944975,170.99403858184814
7days_ln_pheno_peak,lstm,320000,40000,40000,0.947375,0.9533463605276014,0.9679232177811454,0.8930268396044689,0.938098805971072,0.9396621652822492,0.9174311839518606,0.947375,159.94057750701904
7days_ln_pheno_peak,rnn,320000,40000,40000,0.952425,0.9592601547388782,0.9710228363078104,0.9008053176530744,0.943696102899921,0.9444864128662336,0.9254046484232492,0.952425,180.75656056404117
7days_ln_pheno_peak,transformer,320000,40000,40000,0.957975,0.9699473619782104,0.9707054729515976,0.9074710449280896,0.9493746266192992,0.9510881095714204,0.9341297860515956,0.957975,1113.403527021408
raw,atbi-rnn,320000,40000,40000,0.9453,0.9626960576515472,0.968818030477654,0.8621171686364214,0.9312104189218742,0.9385409753413626,0.9140518728941942,0.9453,263.27272272109985
raw,gru,320000,40000,40000,0.939625,0.9554981867355092,0.966721707100216,0.8538509705698184,0.9253569548018478,0.9322929466764124,0.9053415655585322,0.939625,180.3913447856903
7days_ln_whi,atbi-gru,320000,40000,40000,0.940375,0.9554645977151932,0.9661049043741716,0.8563174114021571,0.925962304497174,0.9342459278129222,0.9061805548946752,0.940375,636.6445820331573
raw,lstm,320000,40000,40000,0.943525,0.9571541118720076,0.9689500640204866,0.8645767229343826,0.9302269662756256,0.9358616964949132,0.91134321441008,0.943525,266.00815773010254
raw,RF,320000,40000,40000,0.954425,0.9613017246632946,0.9697085401552756,0.9096102577123272,0.9468735075102992,0.9451450419520692,0.9286906980031424,0.954425,35.37200856208801
raw,rnn,320000,40000,40000,0.9454,0.9628250518862166,0.9672840684870472,0.8658151005438219,0.9319747403056952,0.9380747010662122,0.914318411160162,0.9454,315.34011054039
7days_ln,transformer,320000,40000,40000,0.957225,0.9669819957278,0.9682772706963682,0.915324609964771,0.9501946254629796,0.9490995244194654,0.9331241400933572,0.957225,1109.816428899765
7days_ln_whi,atbi-lstm,320000,40000,40000,0.948575,0.9592170645982304,0.9654395675119064,0.8935929648241207,0.9394165323114192,0.9418958175743652,0.91947721066388,0.948575,1073.5874383449554
raw,transformer,320000,40000,40000,0.9578,0.965262965445792,0.9731715106994572,0.912046370967742,0.950160282370997,0.950012048051279,0.9339839330150924,0.9578,531.1755421161652
7days_ln_whi,atbi-rnn,320000,40000,40000,0.945075,0.9566459929466132,0.966586048879837,0.8777097679163479,0.933647269914266,0.9374709878907892,0.9138008998648536,0.945075,397.2235436439514
raw_whi,gru,320000,40000,40000,0.9426,0.953931691818904,0.9680614642199504,0.8682141045154744,0.930069086851443,0.9357250695091058,0.9099127323834248,0.9426,125.86391401290894
raw_whi,atbi-rnn,320000,40000,40000,0.941425,0.9540194509417704,0.9654213287818446,0.8678008821676119,0.9290805539637422,0.9342298586911202,0.9081689375881552,0.941425,262.5074408054352
raw_whi,lstm,320000,40000,40000,0.9418,0.9540723708096333,0.9672573189522342,0.865915421625728,0.9290817037958652,0.9346395547501763,0.908658128105908,0.9418,131.39082217216492
raw_whi,rnn,320000,40000,40000,0.9485,0.9596621166676867,0.97094385009812,0.8802440884820748,0.9369500184159606,0.94179544100394,0.919182491195864,0.9485,148.79036951065063
raw_whi,RF,320000,40000,40000,0.950625,0.956958305271536,0.9687044662654418,0.901294087794976,0.9423189531106512,0.9422570894538002,0.9227011609259218,0.950625,415.73852586746216
raw_whi,transformer,320000,40000,40000,0.9566,0.9639524245196708,0.9713942914877496,0.9109280473677436,0.948758254458388,0.9480908140808212,0.9319468689134638,0.9566,532.0804591178894
ln,atbi-rnn,320000,40000,40000,0.935225,0.9510922330097088,0.9589897314879776,0.8543553118224716,0.9214790921067192,0.9286932446029508,0.8981872250149454,0.935225,232.4837555885315
ln,gru,320000,40000,40000,0.936825,0.9521948836925332,0.9612234450985412,0.8576254222444639,0.9236812503451794,0.9310618110938126,0.900937670131993,0.936825,122.04281711578368
ln,lstm,320000,40000,40000,0.9344,0.9491743119266056,0.9557026476578412,0.8618039808515999,0.922226980145349,0.9279739926859016,0.8971227176602381,0.9344,127.6417453289032
ln,RF,320000,40000,40000,0.947925,0.957205293189268,0.9646119450654744,0.895311904459408,0.9390430475713836,0.9397415756775096,0.9184185789713546,0.947925,337.28865337371826
ln,rnn,320000,40000,40000,0.94355,0.9557893456579908,0.9645764436530144,0.875638406537283,0.932001398616096,0.9369258622512052,0.9113547909543792,0.94355,136.7402732372284
ln,transformer,320000,40000,40000,0.956125,0.9635852630292662,0.9702764104505868,0.9116476178245796,0.9485030971014776,0.9476095843759856,0.9312300632022464,0.956125,410.30149817466736
7days_ln,atbi-gru,320000,40000,40000,0.944475,0.9578035747189976,0.970175772574402,0.8663316582914573,0.9314370018616188,0.9386649718144876,0.9129081454159834,0.944475,292.53047037124634
7days_ln,atbi-lstm,320000,40000,40000,0.94835,0.9571592349001388,0.9676761236850494,0.8903384138465513,0.9383912574772464,0.9399175026541629,0.9188826736129432,0.94835,306.22729659080505
7days_ln,atbi-rnn,320000,40000,40000,0.946575,0.9599026467903864,0.9687480028120408,0.8750947208891134,0.9345817901638468,0.9401337473930944,0.9161923111114282,0.946575,384.8960735797882
7days_ln,bi-gru,320000,40000,40000,0.946575,0.9573565933733116,0.9701330955868306,0.8762198253723678,0.9345698381108366,0.9394054640490688,0.9160468035573754,0.946575,291.2335295677185
7days_ln,bi-lstm,320000,40000,40000,0.95015,0.9609918168953424,0.9683853970643584,0.8903267136450993,0.9399013092016,0.942826880785419,0.9217658295044134,0.95015,307.21287178993225
7days_ln,bi-rnn,320000,40000,40000,0.9519,0.9617904598616128,0.9693819334389856,0.8965036736762098,0.9425586889922696,0.9446407684058328,0.9246394141134336,0.9519,378.12249064445496
7days_ln,gru,320000,40000,40000,0.94625,0.9574377656344868,0.9702403662724152,0.8742952332137366,0.9339911217068796,0.9394634322004626,0.9155374524947768,0.94625,174.8004903793335
7days_ln,lstm,320000,40000,40000,0.94925,0.9607075096395128,0.9695016908058444,0.886079118678017,0.9387627730411248,0.9433035377809448,0.9205184744357094,0.94925,170.59877347946167
7days_ln,RF,320000,40000,40000,0.954225,0.9596002681128512,0.9706933980334568,0.9105588495017032,0.9469508385493368,0.9458304710149782,0.9284128933887812,0.954225,351.1580445766449
7days_ln,rnn,320000,40000,40000,0.954775,0.961718417694598,0.9717721518987342,0.905333849928968,0.9462748065074336,0.9470518515909802,0.929008587221753,0.954775,187.6323425769806
7days_ln_whi,bi-gru,320000,40000,40000,0.943925,0.9570219760150972,0.9677275903690998,0.8686159346271706,0.931121833670456,0.937499945995455,0.9118918939228448,0.943925,288.6553430557251
7days_ln_whi,bi-lstm,320000,40000,40000,0.94765,0.9567889964092264,0.968827691719258,0.8864501395584877,0.9373556092289906,0.9405118944204716,0.9179199994162676,0.94765,317.2311804294586
7days_ln_whi,bi-rnn,320000,40000,40000,0.950675,0.9614563639690188,0.9713357538696732,0.8872722672064778,0.9400214616817232,0.9442889204036096,0.9226565110523444,0.950675,383.1376547813416
7days_ln_whi,gru,320000,40000,40000,0.945775,0.9579918654768408,0.9681931404483618,0.8756035578144854,0.9339295212465628,0.9400628689223924,0.9148541042741862,0.945775,176.52804589271545
7days_ln_whi,lstm,320000,40000,40000,0.945575,0.9583384615384616,0.9679290997194592,0.8763947433672205,0.9342207682083804,0.9396110199377756,0.9148383011607112,0.945575,175.14019465446472
7days_ln_whi,rnn,320000,40000,40000,0.949125,0.9603073758092818,0.9695583095011122,0.8836908761953993,0.937852187168598,0.9418503565366828,0.9200144826847986,0.949125,188.008535861969
7days_ln_whi,RF,320000,40000,40000,0.94955,0.957356470371054,0.9667066019295038,0.8989860583016477,0.941016376867402,0.9412822885455888,0.921020894794066,0.94955,402.3273997306824
7days_ln_pheno_peak,atbi-gru,320000,40000,40000,0.9407,0.9483925549915396,0.9676563813959506,0.8726385587388965,0.929562498375462,0.9333060186924548,0.90713828329504,0.9407,288.014445066452
7days_ln_pheno_peak,atbi-lstm,320000,40000,40000,0.94985,0.9570224889373824,0.9704867765427366,0.8936170212765957,0.9403754289189048,0.9427591958323625,0.9213515180960512,0.94985,322.7502987384796
7days_ln_whi,transformer,320000,40000,40000,0.9553,0.9661944427555176,0.9706236913901404,0.9013090349075976,0.9460423896844184,0.947059575682084,0.9298774046921152,0.9553,1099.9269993305206
7days_ln_pheno_peak,bi-gru,320000,40000,40000,0.94505,0.9528463229904716,0.9680783415998984,0.8830675778283978,0.934664080806256,0.9384182100736684,0.9138557516913598,0.94505,284.89015650749207
7days_ln_pheno_peak,atbi-rnn,320000,40000,40000,0.95065,0.959657023009068,0.9678189817724702,0.8974489148369083,0.9416416398728156,0.9432176122251364,0.9226885830121162,0.95065,382.1918971538544
7days_ln_pheno_peak,bi-lstm,320000,40000,40000,0.9473,0.9559012678385496,0.9671388463501788,0.890888638920135,0.9379762510362878,0.9406661167039316,0.917548499012814,0.9473,306.5933122634888
7days_ln_pheno_peak,bi-rnn,320000,40000,40000,0.95025,0.9600563621883232,0.97089476359939,0.8891827225790203,0.9400446161222444,0.9436338469443069,0.9220623686045336,0.95025,383.168751001358
7days_ln_pheno_peak,gru,320000,40000,40000,0.9481,0.9565721964329342,0.9704646721833228,0.8862086385450871,0.9377485023871148,0.9411292416076704,0.9186701593210445,0.9481,169.53237795829773
7days_ln_pheno_peak,lstm,320000,40000,40000,0.94835,0.957791618794219,0.9676987767584098,0.8891463885670143,0.9382122613732145,0.9411401639284396,0.9188700218209992,0.94835,155.0503466129303
7days_ln_pheno_peak,RF,320000,40000,40000,0.953825,0.9603309807739108,0.9690361139369278,0.9096477794793262,0.9463382913967217,0.9447039223834164,0.9277005623001672,0.953825,348.7545716762543
7days_ln_pheno_peak,rnn,320000,40000,40000,0.946475,0.9534869581078615,0.9692787177203918,0.8859660324351935,0.9362439027544824,0.9391397999033648,0.9160251221495936,0.946475,186.06573271751404
7days_ln_pheno_peak,transformer,320000,40000,40000,0.95895,0.967229151381756,0.9733631427658896,0.9137564150707222,0.9514495697394558,0.9514481206514098,0.935833735188244,0.95895,1112.6461596488953
raw,atbi-rnn,320000,40000,40000,0.945375,0.9615479115479116,0.9673272969036916,0.868424372398133,0.9324331936165788,0.9377482412250404,0.9143416710161544,0.945375,264.70345306396484
raw,gru,320000,40000,40000,0.943225,0.9612686794754498,0.9678301227032868,0.8565261554088369,0.9285416525291912,0.9361358424603266,0.91080459364355,0.943225,183.8434555530548
7days_ln_whi,atbi-gru,320000,40000,40000,0.94195,0.9568541780447842,0.9647725824945852,0.8647577655630833,0.9287948420341507,0.9359632243171416,0.9087398715688784,0.94195,788.2170920372009
raw,lstm,320000,40000,40000,0.942875,0.9572503210812794,0.9676049194877648,0.8634920634920635,0.9294491013537026,0.9350088599682884,0.910336309657404,0.942875,264.8063864707947
raw,RF,320000,40000,40000,0.955275,0.9632059851597472,0.968832,0.912989588497769,0.9483425245525052,0.947441380475801,0.9302044902999688,0.955275,35.76702260971069
raw,rnn,320000,40000,40000,0.945325,0.9607147228001468,0.9697837150127226,0.8652053413958176,0.9319012597362292,0.9386458314836378,0.914223265864866,0.945325,316.9323484897613
7days_ln,transformer,320000,40000,40000,0.958525,0.9656039239730226,0.9703076631499148,0.9201119450451596,0.9520078440560324,0.9498658705338904,0.935106173224178,0.958525,1116.4869215488434
7days_ln_whi,atbi-lstm,320000,40000,40000,0.9488,0.9582750440970744,0.9693340936450612,0.8870884773662552,0.9382325383694636,0.9418969582447794,0.9195744561954008,0.9488,1099.3399775028229
raw,transformer,320000,40000,40000,0.957725,0.9657051870904526,0.9696334413315544,0.91765447667087,0.9509977016976258,0.9498045958949576,0.9338958712596488,0.957725,530.9183678627014
raw_whi,gru,320000,40000,40000,0.941675,0.9567607182117992,0.9661952178600876,0.8610510243033465,0.9280023201250778,0.9345446843612812,0.9083883678531304,0.941675,126.64988899230956
raw_whi,atbi-rnn,320000,40000,40000,0.945325,0.9569781553398058,0.9643924461117824,0.8822019761324266,0.9345241925280048,0.9375017570638964,0.9141538223076856,0.945325,265.6061408519745
raw_whi,lstm,320000,40000,40000,0.942575,0.9562724888699152,0.9661446776136436,0.8664112388250319,0.929609468436197,0.9347940423398988,0.9098124202585184,0.942575,127.5811939239502
raw_whi,rnn,320000,40000,40000,0.946675,0.9590539632096804,0.9674418604651164,0.8801309493830269,0.9355422576859412,0.939328030068388,0.9164487581501888,0.946675,149.1168887615204
raw_whi,RF,320000,40000,40000,0.9514,0.9595065046112502,0.9702114231618808,0.8960421485479311,0.941920025440354,0.9430548794656596,0.9237517737346592,0.9514,412.6554889678955
