Preprocessing,Model,Train Size,Test Size,Validation Size,Overall Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy,Recall,Precision,Kappa,F1 Score,Train Time
raw,atbi-rnn,320000,40000,40000,0.942125,0.9494543365881676,0.9568137502708168,0.9171370143149284,0.9411350337246376,0.9416114299085462,0.913012728517711,0.942125,262.9084312915802
raw,gru,320000,40000,40000,0.942275,0.9470160116448326,0.9602387115329308,0.9167746113989638,0.9413431115255756,0.9418608590530088,0.9132673082814888,0.942275,145.32612824440002
raw,lstm,320000,40000,40000,0.9394,0.9442013913791868,0.9589762076423936,0.9116271436776894,0.9382682475664232,0.9390610401890356,0.908891736017962,0.9394,129.24647092819214
raw,RF,320000,40000,40000,0.94855,0.9451985559566788,0.957561783990201,0.942140004889577,0.9483001149454856,0.9479201670311268,0.9227216293119338,0.94855,268.39142990112305
raw,rnn,320000,40000,40000,0.945325,0.9532083633741888,0.9623157137720244,0.9170552147239264,0.9441930972900464,0.94507021407474,0.9178065565281416,0.945325,138.22385382652283
ln,gru,320000,40000,40000,0.937475,0.9414993499927776,0.9533099046116332,0.9148308901809844,0.9365467149284652,0.9372812730196556,0.9060089911081302,0.937475,129.7885808944702
raw,transformer,320000,40000,40000,0.956925,0.9592170818505338,0.9656444380153334,0.9443253051798086,0.9563956083485586,0.9562216599611048,0.9352596380278816,0.956925,533.6937820911407
ln,atbi-rnn,320000,40000,40000,0.936125,0.938412017167382,0.953307675550069,0.9141970773124336,0.9353055900099616,0.9357488291886392,0.9040019741552536,0.936125,236.82247948646545
ln,lstm,320000,40000,40000,0.937875,0.9411134903640256,0.951849166062364,0.9183606557377048,0.9371077707213648,0.9375900762507658,0.9066174027432464,0.937875,132.57064723968506
ln,RF,320000,40000,40000,0.946975,0.9394026215887116,0.9596913758292472,0.9411716374989728,0.9467552116389772,0.9462955316491204,0.9203383428512596,0.946975,309.1615686416626
ln,rnn,320000,40000,40000,0.941725,0.9439943141435678,0.9573313782991202,0.921806346623271,0.9410440130219864,0.9414744856770932,0.9124261728639912,0.941725,145.6678171157837
ln,transformer,320000,40000,40000,0.957175,0.9571992818671454,0.9690573623375692,0.9435205005763214,0.9565923815936788,0.9564944904219876,0.9356386476999448,0.957175,413.7856383323669
7days_ln,atbi-gru,320000,40000,40000,0.94715,0.9475615019421666,0.959713064270705,0.9325851833780596,0.9466199165303104,0.9467455630766088,0.920598928069754,0.94715,282.6647913455963
7days_ln,atbi-lstm,320000,40000,40000,0.948925,0.9487307829817662,0.9624406389408549,0.9336469423124536,0.9482727880783582,0.9483497207531144,0.9232237431059228,0.948925,308.40371084213257
7days_ln,atbi-rnn,320000,40000,40000,0.948625,0.9537543153049484,0.959356049667918,0.9306599150604378,0.947923426677768,0.948195218277284,0.9227964964862264,0.948625,385.51078748703
7days_ln,bi-gru,320000,40000,40000,0.947375,0.9515324305060584,0.961258206478609,0.9266661161119828,0.94648558436555,0.9467962955678396,0.9208804231810358,0.947375,277.8670282363892
7days_ln,bi-lstm,320000,40000,40000,0.95105,0.9510419640308309,0.9638929088277858,0.9364727153188692,0.950469196059162,0.9505414324452754,0.9264300978242233,0.95105,309.4863181114197
7days_ln,bi-rnn,320000,40000,40000,0.9514,0.9560607161013872,0.9638303967912908,0.9320237998206864,0.950638304237788,0.950894422672787,0.9269712284812884,0.9514,383.6802809238434
7days_ln,gru,320000,40000,40000,0.9492,0.9497658578118348,0.9619819030939872,0.9341911162104573,0.9486462923720932,0.9486970653227056,0.923655170279356,0.9492,173.48080730438232
7days_ln,lstm,320000,40000,40000,0.9471,0.9491048224083164,0.960429580510307,0.929770246048558,0.9464348829890604,0.9466765562060092,0.9205131992415548,0.9471,165.9678554534912
7days_ln,RF,320000,40000,40000,0.951875,0.9468039159228332,0.9642677764224724,0.94347218798784,0.9515146267777151,0.9511739832844336,0.9276917243458356,0.951875,357.7354121208191
7days_ln,rnn,320000,40000,40000,0.95405,0.9543574486612002,0.9685462491939528,0.9372043712281848,0.9533693563611124,0.9534884459932064,0.9309574845252006,0.95405,196.55606865882876
7days_ln_pheno_peak,atbi-gru,320000,40000,40000,0.937325,0.940297424737033,0.9513440669551032,0.9176295807197096,0.9364236908039486,0.9367235276698268,0.9057702053573838,0.937325,286.1728467941284
