Preprocessing,Model,Train Size,Test Size,Validation Size,Overall Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy,Recall,Precision,Kappa,F1 Score,Train Time
7days_ln,RF,200000,25000,25000,0.95628,0.9239250275633958,0.921515892420538,0.9739236641221374,0.9397881947020238,0.941295966980228,0.9143926090604482,0.95628,168.05221247673035
7days_ln_whi,RF,200000,25000,25000,0.9518,0.9227534307215582,0.907243605068133,0.9712865819988956,0.933761205929529,0.9338832887541684,0.9062848182036998,0.9518,177.42315244674683
7days_ln,transformer,200000,25000,25000,0.9592,0.9411632100991884,0.9311981020166074,0.9713132301669828,0.9478915140942596,0.9439053050162332,0.9206083482762693,0.9592,713.0605416297913
7days_ln_whi,transformer,200000,25000,25000,0.95732,0.9270105879702636,0.9277079303675048,0.9729680365296804,0.9425621849558162,0.9421656792698117,0.9162425141531154,0.95732,704.4460651874542
7days_ln,atbi-gru,200000,25000,25000,0.94136,0.9047513321492008,0.8973485769885673,0.9624656698199572,0.921521859652575,0.9159150825754764,0.8857155914654387,0.94136,211.9725391864777
7days_ln_whi,atbi-gru,200000,25000,25000,0.9382,0.8988135213790016,0.8859926918392205,0.961955198441685,0.9155871372199692,0.91096484044907,0.8790844486701181,0.9382,202.74657583236691
7days_ln_whi,atbi-lstm,200000,25000,25000,0.94576,0.9064637105669534,0.909552599758162,0.9658339456282146,0.92728341865111,0.9224154792645352,0.894641543492064,0.94576,215.50453090667725
7days_ln,atbi-lstm,200000,25000,25000,0.94688,0.9158590308370044,0.9084213110729192,0.9650332580704216,0.9297711999934484,0.9254797051695396,0.896339457752203,0.94688,228.40033555030823
7days_ln_whi,atbi-rnn,200000,25000,25000,0.94256,0.9014433919711322,0.9034090909090908,0.9638355158487332,0.9228959995763188,0.9192242634243688,0.8882765357278661,0.94256,263.28366684913635
7days_ln,atbi-rnn,200000,25000,25000,0.9452,0.910377358490566,0.9092872570194384,0.9637995238385936,0.927821379782866,0.9202188328562964,0.8934071530553773,0.9452,277.1179986000061
7days_ln_whi,bi-gru,200000,25000,25000,0.94528,0.9014965378601744,0.9080267558528428,0.9668237742547592,0.9254490226559254,0.9234205008877284,0.8934611815768652,0.94528,202.73979568481445
7days_ln,bi-gru,200000,25000,25000,0.94604,0.9097528684907326,0.9134709931170109,0.9641463414634146,0.9291234010237194,0.9221487079721004,0.8948007167164004,0.94604,203.72099590301517
