Preprocessing,Model,Target Site,Test Size,Validation Size,Overall Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy,Recall,Precision,Kappa,F1 Score,Transfer Strategy,Train Site
7days_ln,transformer,Site C 2022 to 2021,4000.0,0.0,0.9321875,0.966909532483303,0.9109076433121019,0.9000638569604086,0.9262640621001439,0.928987454718862,0.8936182885913114,0.9321875,Direct,
7days_ln,transformer,Site C 2023 to 2021,4000.0,0.0,0.9264375000000001,0.9285822707953855,0.925796178343949,0.9267241379310345,0.9263437321651807,0.9110501834649678,0.8856693807388142,0.9264375000000001,Direct,
7days_ln,transformer,Site C 2023+2022 to 2021,4000.0,0.0,0.9544999999999999,0.964392579293836,0.9677340702210662,0.9078697850821744,0.9467002544906803,0.9479029810093029,0.928713350606645,0.9544999999999999,Direct,
7days_ln_pheno_peak,transformer,Site C 2022 to 2021,4000.0,0.0,0.93984375,0.9583333333333334,0.9289808917197451,0.9212062256809339,0.9362031384418884,0.9277490011349976,0.9059217770231618,0.93984375,Direct,
7days_ln_pheno_peak,transformer,Site C 2023 to 2021,4000.0,0.0,0.9237812500000001,0.9509493670886077,0.8928343949044586,0.9296368352788588,0.9243015350101906,0.9081042852159353,0.8813867537730198,0.9237812500000001,Direct,
7days_ln_pheno_peak,transformer,Site C 2023+2022 to 2021,4000.0,0.0,0.94721875,0.9619499698613623,0.9440286624203822,0.9202334630350195,0.9421920048560836,0.936062246482476,0.9173441171602345,0.94721875,Direct,
7days_ln_whi,transformer,Site C 2022 to 2021,4000.0,0.0,0.92515625,0.9663782635094111,0.8931528662420384,0.9010217113665389,0.9204087309985481,0.9227724426895357,0.8826187817281195,0.92515625,Direct,
7days_ln_whi,transformer,Site C 2023 to 2021,4000.0,0.0,0.9315625,0.9496812386156649,0.9227707006369428,0.9133141762452107,0.928259338183093,0.9213031063042983,0.8930992850210812,0.9315625,Direct,
7days_ln_whi,transformer,Site C 2023+2022 to 2021,4000.0,0.0,0.9426875,0.9658469945355193,0.9375000000000001,0.9053320561941253,0.9359939716726782,0.9367246317927791,0.9101491269349795,0.9426875,Direct,
7days_ln,transformer,,4000.0,1000.0,0.9495357142857143,0.9606210425882556,0.9595086442220202,0.9020251778872469,0.9413974580321395,0.9394789811362353,0.9209759276774505,0.9495357142857143,,Site C Year 2021
7days_ln_pheno_peak,transformer,,4000.0,1000.0,0.9457857142857142,0.9499698613622665,0.9588717015468609,0.9079118028534373,0.9392671115788319,0.9346715775334183,0.915048546675243,0.9457857142857142,,Site C Year 2021
7days_ln_whi,transformer,,4000.0,1000.0,0.9479285714285715,0.9596669268800417,0.959326660600546,0.8970990695128627,0.9393526833350933,0.9390853946115316,0.9184029425705763,0.9479285714285715,,Site C Year 2021
7days_ln,transformer,Site C 2023 to 2022,4000.0,0.0,0.7893749999999999,0.6819269898264513,0.8272106631989596,0.9423198482932996,0.8173105282524652,0.7923644312484088,0.6845305280950671,0.7893749999999999,Direct,
7days_ln_pheno_peak,transformer,Site C 2023 to 2022,4000.0,0.0,0.8282499999999999,0.7932375822860563,0.8108745123537061,0.936156763590392,0.8465756877547858,0.8189380202847445,0.7395502253446807,0.8282499999999999,Direct,
7days_ln_whi,transformer,Site C 2023 to 2022,4000.0,0.0,0.79859375,0.6748516320474778,0.8758111615833875,0.9129521963824287,0.8214910698846303,0.7946081001560691,0.6936359229287727,0.79859375,Direct,
7days_ln,transformer,,4000.0,1000.0,0.9364642857142856,0.9519534923484656,0.9490990154189116,0.87646740111974,0.926267429661526,0.9277004042426394,0.9004317084170863,0.9364642857142856,,Site C Year 2022
7days_ln_pheno_peak,transformer,,4000.0,1000.0,0.9285714285714286,0.937676327263401,0.9450120750510868,0.8723135271807838,0.9193418389805118,0.919658487031789,0.8881381026621471,0.9285714285714286,,Site C Year 2022
7days_ln_whi,transformer,,4000.0,1000.0,0.9215714285714286,0.9323442136498516,0.9420598869008991,0.8575119970468809,0.9100660984527814,0.9098296794182616,0.8768381498107566,0.9215714285714286,,Site C Year 2022
