,epoch,loss,acc
0,1,0.68608,0.7316499999999999
1,2,0.6731,0.73176
2,3,0.66008,0.74931
3,4,0.64593,0.75685
4,5,0.67458,0.7491
5,6,0.65916,0.75858
6,7,0.6931200000000001,0.75596
7,8,0.64881,0.76188
8,9,0.66914,0.76129
9,10,0.6557999999999999,0.75847
10,11,0.66841,0.75695
11,12,0.68315,0.7506999999999999
12,13,0.65898,0.76079
13,14,0.67034,0.76381
14,15,0.67626,0.76311
15,16,0.68045,0.7624
16,17,0.68102,0.76219
17,18,0.6805,0.76291
18,19,0.69274,0.76441
19,20,0.6970799999999999,0.76382
20,21,0.69004,0.76442
21,22,0.6922200000000001,0.76321
22,23,0.70546,0.7639
23,24,0.70914,0.76492
24,25,0.71644,0.7636000000000001
25,26,0.7036800000000001,0.76654
26,27,0.71112,0.76502
27,28,0.7092,0.76511
28,29,0.71658,0.76521
29,30,0.7144999999999999,0.76441
30,31,0.71217,0.76632
31,32,0.7186899999999999,0.76481
32,33,0.7119,0.76775
33,34,0.71522,0.76571
34,35,0.72031,0.76572
35,36,0.71462,0.76673
36,37,0.72506,0.76532
37,38,0.72457,0.76573
38,39,0.7216899999999999,0.76613
39,40,0.72011,0.76633
