,epoch,loss,acc
0,1,0.79445,0.7357
1,2,0.76517,0.73811
2,3,0.78214,0.73407
3,4,0.78689,0.73367
4,5,0.74779,0.73558
5,6,0.77919,0.72923
6,7,0.75573,0.73881
7,8,0.72517,0.74354
8,9,0.74395,0.73769
9,10,0.7428,0.74101
10,11,0.80412,0.72289
11,12,0.74561,0.74134
12,13,0.7281299999999999,0.7433500000000001
13,14,0.77568,0.73095
14,15,0.77752,0.72943
15,16,0.77878,0.73367
16,17,0.75282,0.7372
17,18,0.7954399999999999,0.71885
18,19,0.7472799999999999,0.74032
19,20,0.84529,0.69536
20,21,0.77196,0.73225
21,22,0.75397,0.74173
22,23,0.72792,0.74254
23,24,0.81827,0.7154200000000001
24,25,0.7896099999999999,0.7280300000000001
25,26,0.76207,0.7392299999999999
26,27,0.7547200000000001,0.74113
27,28,0.75265,0.7437400000000001
28,29,0.7551,0.74043
29,30,0.75378,0.74163
30,31,0.7491800000000001,0.74163
31,32,0.75817,0.73961
32,33,0.74695,0.74485
33,34,0.7566200000000001,0.74123
34,35,0.75483,0.74052
35,36,0.74847,0.74375
36,37,0.75606,0.74063
37,38,0.75385,0.74153
38,39,0.75103,0.74223
39,40,0.75507,0.74083
