Preprocessing,Model,Target Site,Test Size,Validation Size,Overall Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy,Recall,Precision,Kappa,F1 Score,Transfer Strategy,Train Site
7days_ln,atbi-lstm,Site A to B,4000.0,0.0,0.8339375,0.7301353226925745,0.8649293286219081,0.9261363636363636,0.8404592311320253,0.8420907088748191,0.7520082380548547,0.8339375,Direct,
7days_ln,atbi-lstm,Site A to D,4000.0,0.0,0.78975,0.3177012278308321,0.5028846153846154,0.9934084829957964,0.6044809505882726,0.8515619495146585,0.5008548884891587,0.78975,Direct,
7days_ln,atbi-lstm,Site A to E,4000.0,0.0,0.7347812499999999,0.4266112789526687,0.3918918918918918,0.9075480769230768,0.5736408044111971,0.6735681758419312,0.4157319635211746,0.7347812499999999,Direct,
7days_ln,atbi-lstm,Site A to F,4000.0,0.0,0.959,0.6419753086419753,0.6848484848484848,0.993214086859688,0.7732091504350331,0.8698049125916554,0.7605816183843683,0.959,Direct,
7days_ln,atbi-lstm,Site D to E,4000.0,0.0,0.70221875,0.5529959718026184,0.4659090909090909,0.7966826923076923,0.6044028196350705,0.6406205914011804,0.4085910733735711,0.70221875,Direct,
7days_ln,atbi-rnn,Site A to B,4000.0,0.0,0.8551874999999999,0.7633587786259542,0.9014134275618374,0.911931818181818,0.8593906854032147,0.8576202340887202,0.7830555940423656,0.8551874999999999,Direct,
7days_ln,atbi-rnn,Site A to D,4000.0,0.0,0.8317500000000001,0.4205320600272851,0.6709615384615385,0.9878677875429882,0.692027101596653,0.8632343348006043,0.6239964218977572,0.8317500000000001,Direct,
7days_ln,atbi-rnn,Site A to E,4000.0,0.0,0.7324999999999999,0.4229607250755286,0.3792997542997542,0.9045673076923076,0.571401156414374,0.6618209595410294,0.4136345097043196,0.7324999999999999,Direct,
7days_ln,atbi-rnn,Site A to F,4000.0,0.0,0.9573125,0.5668724279835391,0.7386363636363635,0.9936664810690422,0.7672629432991966,0.8634156018087067,0.7496803261358406,0.9573125,Direct,
7days_ln,atbi-rnn,Site D to E,4000.0,0.0,0.7083750000000001,0.5177492447129909,0.4594594594594595,0.8208653846153846,0.5990345644801838,0.6506726586837039,0.4044875251222693,0.7083750000000001,Direct,
7days_ln,bi-gru,Site A to B,4000.0,0.0,0.8520312500000001,0.7316967383761278,0.920053003533569,0.917395104895105,0.8569480728487114,0.8563440737415275,0.7783968397340039,0.8520312500000001,Direct,
7days_ln,bi-gru,Site A to D,4000.0,0.0,0.8280624999999999,0.3577762619372442,0.7130769230769232,0.9878200229270157,0.6870258929030792,0.8619926076095131,0.6156285976675944,0.8280624999999999,Direct,
