Preprocessing,Model,Target Site,Test Size,Validation Size,Overall Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy,Recall,Precision,Kappa,F1 Score,Transfer Strategy,Train Site
7days_ln,bi-lstm,Site A Previous Year,4000.0,0.0,0.8863437500000001,0.8590644276901986,0.9105929003021148,0.8938989317995071,0.8875466609990348,0.8875300741646435,0.8293160711374147,0.8863437500000001,Direct,
7days_ln,bi-lstm,Site B Previous Year,4000.0,0.0,0.91175,0.9017977150537634,0.920749279538905,0.9145907473309608,0.9121499779144612,0.910674867661172,0.8668734044785574,0.91175,Direct,
7days_ln,bi-lstm,Site C Previous Year,4000.0,0.0,0.8356562499999999,0.7709455415918611,0.8773569570871261,0.8941213653603035,0.8472600701588219,0.8245755903234843,0.7476262568455898,0.8356562499999999,Direct,
7days_ln,bi-rnn,Site A Previous Year,4000.0,0.0,0.9005937500000001,0.8723440712816999,0.9370279456193352,0.8936935086277733,0.9013480666707726,0.9023856987039532,0.8506398846888341,0.9005937500000001,Direct,
7days_ln,bi-rnn,Site B Previous Year,4000.0,0.0,0.91459375,0.9147345430107526,0.9201188760806917,0.906806049822064,0.9140401771380038,0.9121263027852184,0.871208790135791,0.91459375,Direct,
7days_ln,bi-rnn,Site C Previous Year,4000.0,0.0,0.8289375000000001,0.786654697785757,0.8488296488946684,0.8821112515802781,0.8386641127527222,0.8142702641321136,0.7381574826991075,0.8289375000000001,Direct,
7days_ln,gru,Site A Previous Year,4000.0,0.0,0.8907187499999999,0.8503255654557916,0.940521148036254,0.8831142152834839,0.8918605675800775,0.8951007537738718,0.8358396593307629,0.8907187499999999,Direct,
7days_ln,gru,Site B Previous Year,4000.0,0.0,0.91259375,0.9097782258064516,0.9238112391930836,0.9022464412811386,0.9120232552093586,0.91077035099759,0.8681362301538302,0.91259375,Direct,
7days_ln,gru,Site C Previous Year,4000.0,0.0,0.8286875,0.7745362058647517,0.864921976592978,0.870575221238938,0.837029990222253,0.8170879768829519,0.7362897215555568,0.8286875,Direct,
7days_ln,lstm,Site A Previous Year,4000.0,0.0,0.88034375,0.8246230294722413,0.9377832326283988,0.8846548890714871,0.8823537170573759,0.8867470168407128,0.8203629968807334,0.88034375,Direct,
7days_ln,lstm,Site B Previous Year,4000.0,0.0,0.9045625,0.8981854838709677,0.9102125360230549,0.907473309608541,0.9048891077914708,0.9029786534652916,0.8560696033351047,0.9045625,Direct,
7days_ln,lstm,Site C Previous Year,4000.0,0.0,0.8283124999999999,0.7669060442848595,0.8709362808842653,0.8778445006321114,0.8380847611259412,0.8175158158071213,0.7357773982167337,0.8283124999999999,Direct,
7days_ln,rnn,Site A Previous Year,4000.0,0.0,0.9028125,0.8789410555174777,0.9363670694864048,0.8951314708299095,0.903416924693842,0.9047592076056896,0.8539520251119804,0.9028125,Direct,
7days_ln,rnn,Site B Previous Year,4000.0,0.0,0.91271875,0.9124663978494624,0.9221001440922192,0.902135231316726,0.9120941167701476,0.9104029042338933,0.8683614177261461,0.91271875,Direct,
7days_ln,rnn,Site C Previous Year,4000.0,0.0,0.82515625,0.7807450628366247,0.8379388816644994,0.8939633375474083,0.8376378448620607,0.8116926432280993,0.7328820208812848,0.82515625,Direct,
7days_ln,transformer,Site A Previous Year,4000.0,0.0,0.9256875,0.9222926662097328,0.9404267371601208,0.9156737880032868,0.92565048669332,0.9254492520459816,0.8882805763365413,0.9256875,Direct,
7days_ln,transformer,Site B Previous Year,4000.0,0.0,0.92859375,0.910282258064516,0.9387608069164264,0.9392793594306048,0.9296737097484554,0.9265299267230852,0.8924079663547064,0.92859375,Direct,
7days_ln,transformer,Site C Previous Year,4000.0,0.0,0.7893749999999999,0.6819269898264513,0.8272106631989596,0.9423198482932996,0.8173105282524652,0.7923644312484088,0.6845305280950671,0.7893749999999999,Direct,
7days_ln_pheno_peak,RF,Site A Previous Year,4000.0,0.0,0.91296875,0.954506511309116,0.887273413897281,0.891228430566968,0.9109710249347748,0.9142715959835952,0.8688874902302437,0.91296875,Direct,
7days_ln_pheno_peak,RF,Site B Previous Year,4000.0,0.0,0.8383437499999999,0.9107862903225804,0.6929935158501441,0.922153024911032,0.8419498098803898,0.8530001486786172,0.7559673203810446,0.8383437499999999,Direct,
7days_ln_pheno_peak,RF,Site C Previous Year,4000.0,0.0,0.7739375000000001,0.7380311190903651,0.7315507152145644,0.9323640960809104,0.8006705646626855,0.7725784011732536,0.660479061607077,0.7739375000000001,Direct,
7days_ln_pheno_peak,atbi-gru,Site A Previous Year,4000.0,0.0,0.87815625,0.9242631939684716,0.8301548338368581,0.8742810188989318,0.8765357422867222,0.883452743805826,0.8162563134292531,0.87815625,Direct,
7days_ln_pheno_peak,atbi-gru,Site B Previous Year,4000.0,0.0,0.8808125000000001,0.9268313172043012,0.829971181556196,0.8835631672597865,0.8799069425325332,0.8841878832401193,0.8198041758400479,0.8808125000000001,Direct,
7days_ln_pheno_peak,atbi-gru,Site C Previous Year,4000.0,0.0,0.8327500000000001,0.8723818073010173,0.7685305591677504,0.8753160556257902,0.8383571991557532,0.818355536903114,0.7430748287795852,0.8327500000000001,Direct,
