Preprocessing,Model,Target Site,Test Size,Validation Size,Overall Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy,Recall,Precision,Kappa,F1 Score,Transfer Strategy,Train Site
7days_ln,gru,,4000.0,1000.0,0.9324642857142856,0.9394605394605394,0.944781426479816,0.911485524442335,0.9315350622083182,0.9323501398858376,0.8983964328144235,0.9324642857142856,,Site A LE07
7days_ln,gru,,4000.0,1000.0,0.9204642857142856,0.9364970645792564,0.9360476864012932,0.8806140573458512,0.9175428884094884,0.9217609839353542,0.8797261765227813,0.9204642857142856,,Site B LE07
7days_ln,gru,,4000.0,1000.0,0.9453928571428571,0.9531713100177832,0.9729780801209372,0.8769395398608884,0.934369510707846,0.9401265779534196,0.914355857718351,0.9453928571428571,,Site C LE07
7days_ln,lstm,,4000.0,1000.0,0.9316428571428572,0.9422577422577422,0.9444676845848148,0.9049596582819176,0.9303909809223964,0.9317825740391792,0.8971273032500973,0.9316428571428572,,Site A LE07
7days_ln,lstm,,4000.0,1000.0,0.9176785714285716,0.9318003913894324,0.935239442311578,0.8779497589444303,0.9148323909005804,0.9190910496074116,0.875513498656003,0.9176785714285716,,Site B LE07
7days_ln,lstm,,4000.0,1000.0,0.944,0.95113896180879,0.9725056689342404,0.8749777064383807,0.9330185147067496,0.9382608761793872,0.912188729363254,0.944,,Site C LE07
7days_ln,rnn,,4000.0,1000.0,0.93425,0.9414585414585416,0.9465592972181552,0.9136212624584718,0.9334078065286384,0.9338608223839484,0.901103088849293,0.93425,,Site A LE07
7days_ln,rnn,,4000.0,1000.0,0.9248571428571428,0.9377690802348336,0.9465548595675892,0.8826439989850291,0.9219147741982866,0.9256353989046688,0.8863976997457322,0.9248571428571428,,Site B LE07
7days_ln,rnn,,4000.0,1000.0,0.9449642857142858,0.9512236429841646,0.9732615268329552,0.8789013732833958,0.934295724495734,0.9389163633862958,0.9137319962479832,0.9449642857142858,,Site C LE07
7days_ln,transformer,,4000.0,1000.0,0.9376428571428572,0.94005994005994,0.9440493620581468,0.9251305173232084,0.937204287227149,0.9368074080432324,0.9062522407523186,0.9376428571428572,,Site A LE07
7days_ln,transformer,,4000.0,1000.0,0.9331428571428572,0.9333659491193738,0.937563144069509,0.9240040598832784,0.932513615815059,0.931816229662715,0.8991343438728083,0.9331428571428572,,Site B LE07
7days_ln,transformer,,4000.0,1000.0,0.9462142857142856,0.9431789313235668,0.96797052154195,0.908863920099875,0.9406972451694816,0.9354303959559844,0.9160737957959711,0.9462142857142856,,Site C LE07
7days_ln_pheno_peak,RF,,4000.0,1000.0,0.9248571428571428,0.9338717819283192,0.9304677623261692,0.9084040451005464,0.9242207674723548,0.9245777324892092,0.8870716238056319,0.9248571428571428,,Site A LE07
7days_ln_pheno_peak,RF,,4000.0,1000.0,0.9168571428571428,0.9274530778955556,0.9264630258150778,0.8920440330247684,0.9151829136918752,0.9167510396442108,0.8745098495265348,0.9168571428571428,,Site B LE07
7days_ln_pheno_peak,RF,,4000.0,1000.0,0.927,0.9383817090968052,0.9502895752895754,0.8558235959291368,0.9147951172998418,0.9148220199055448,0.8847519141766698,0.927,,Site C LE07
7days_ln_pheno_peak,atbi-gru,,4000.0,1000.0,0.9243571428571428,0.9367995961635538,0.9375263379688158,0.8958502847843776,0.9232729694503848,0.924614224668572,0.8862689502731419,0.9243571428571428,,Site A LE07
7days_ln_pheno_peak,atbi-gru,,4000.0,1000.0,0.9104285714285716,0.9281338130895652,0.9370564640543044,0.8563922942206654,0.9068468080008962,0.9121722762934478,0.8645946316738521,0.9104285714285716,,Site B LE07
7days_ln_pheno_peak,atbi-gru,,4000.0,1000.0,0.926357142857143,0.943489541105886,0.9592664092664094,0.8237843950245007,0.9086633174622356,0.915411842875055,0.8833497957694025,0.926357142857143,,Site C LE07
7days_ln_pheno_peak,atbi-lstm,,4000.0,1000.0,0.9236071428571428,0.9373043917213528,0.9381584492203962,0.8927118447053354,0.9224228839622188,0.9237636571268676,0.8851398903301473,0.9236071428571428,,Site A LE07
7days_ln_pheno_peak,atbi-lstm,,4000.0,1000.0,0.9088571428571428,0.924438393464942,0.9341766944358738,0.8576432324243183,0.905546400938772,0.9105259574876452,0.8622395130003884,0.9088571428571428,,Site B LE07
7days_ln_pheno_peak,atbi-lstm,,4000.0,1000.0,0.9295714285714284,0.9485973731149668,0.9584942084942084,0.8277421786656615,0.911723226919439,0.9179999183699004,0.8884746149585342,0.9295714285714284,,Site C LE07
7days_ln_pheno_peak,atbi-rnn,,4000.0,1000.0,0.9281785714285714,0.935487127713276,0.94700800674252,0.8996861559920959,0.927132191874534,0.9281160663672576,0.8920300265204111,0.9281785714285714,,Site A LE07
7days_ln_pheno_peak,atbi-rnn,,4000.0,1000.0,0.9143571428571428,0.9323154721384812,0.9365422194795844,0.8646484863647734,0.9111382658973256,0.9151628366033778,0.8705936959316762,0.9143571428571428,,Site B LE07
7days_ln_pheno_peak,atbi-rnn,,4000.0,1000.0,0.9264285714285716,0.947462299335171,0.9573359073359072,0.8194496796079909,0.9076113671007636,0.9159490241357976,0.8833684345896945,0.9264285714285716,,Site C LE07
7days_ln_pheno_peak,bi-gru,,4000.0,1000.0,0.9308214285714288,0.9457849570923774,0.948377581120944,0.8939904684412413,0.929495251719342,0.9312042251787592,0.8959732498927673,0.9308214285714288,,Site A LE07
7days_ln_pheno_peak,bi-gru,,4000.0,1000.0,0.9160714285714284,0.9369833706116892,0.9359251259899208,0.8653990492869653,0.9126794021181136,0.9168946256768684,0.873176601294222,0.9160714285714284,,Site B LE07
7days_ln_pheno_peak,bi-gru,,4000.0,1000.0,0.9292857142857144,0.9491649100048646,0.957915057915058,0.8264229174519411,0.9112708311215943,0.9182916244893494,0.8879724756137822,0.9292857142857144,,Site C LE07
7days_ln_pheno_peak,bi-lstm,,4000.0,1000.0,0.9245357142857143,0.935487127713276,0.9414243573535608,0.8930605602696734,0.9233666193850424,0.9247277992674976,0.8865377768076013,0.9245357142857143,,Site A LE07
7days_ln_pheno_peak,bi-lstm,,4000.0,1000.0,0.9093928571428572,0.92784206943499,0.9319140183071069,0.858018513885414,0.9061027375979044,0.9104533717096932,0.8630696538528149,0.9093928571428572,,Site B LE07
